doctor_name,medical_specialty,phone_number,email,hospital_name,hospital_state,password
Sarah Clark,Surgery,(703) 555-9020,sarah.clark@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Charles Miller,Surgery,(202) 555-0756,charles.miller@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Janet Jackson,Cardiovascular / Pulmonary,(703) 555-9659,janet.jackson@hospital.com,Children's National Hospital,Washington D.C.,abcd
Carol Young,Orthopedic,(301) 555-3933,carol.young@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Joshua Campbell,Sleep Medicine,(571) 555-6565,joshua.campbell@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Gregory Lee,Surgery,(301) 555-9734,gregory.lee@hospital.com,Virginia Hospital Center,Virginia,abcd
Christine Scott,Consult - History and Phy.,(571) 555-7658,christine.scott@hospital.com,University of Maryland Medical Center,Maryland,abcd
Maria Green,Orthopedic,(571) 555-4030,maria.green@hospital.com,Howard University Hospital,Washington D.C.,abcd
Christopher Torres,Surgery,(703) 555-3308,christopher.torres@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Helen Mitchell,Consult - History and Phy.,(703) 555-6797,helen.mitchell@hospital.com,University of Maryland Medical Center,Maryland,abcd
Janet Gonzalez,Orthopedic,(301) 555-8567,janet.gonzalez@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
David Campbell,Surgery,(240) 555-8473,david.campbell@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Thomas Davis,Consult - History and Phy.,(240) 555-8034,thomas.davis@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Cynthia Brown,Orthopedic,(301) 555-2057,cynthia.brown@hospital.com,Virginia Hospital Center,Virginia,abcd
Anthony Jones,Surgery,(301) 555-3974,anthony.jones@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Christine Taylor,Neurology,(301) 555-0561,christine.taylor@hospital.com,Children's National Hospital,Washington D.C.,abcd
Timothy Young,Radiology,(240) 555-1060,timothy.young@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Jessica Davis,Surgery,(240) 555-4704,jessica.davis@hospital.com,Children's National Hospital,Washington D.C.,abcd
Sarah Young,General Medicine,(703) 555-6861,sarah.young@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
